text,drug,effect,indexes,label
"Moreover, treatment with immunosuppressive drugs such as cyclosporine, cisplatin, tacrolimus, and interferon-alpha can induce a condition resembling RPLS.",tacrolimus,cyclosporine,0,0
METHODS: A 68-year-old man developed intense conjunctival hyperemia and cystoid macula edema after switching from latanoprost to bimatoprost 9 months after cataract surgery in an eye at low-risk for this cystoid macular edema.,bimatoprost,cataract,0,0
One other patient on digoxin stopped taking it and developed cardiomyopathy.,digoxin,cardiomyopathy,"{'drug': {'start_char': array([21], dtype=int32), 'end_char': array([28], dtype=int32)}, 'effect': {'start_char': array([61], dtype=int32), 'end_char': array([75], dtype=int32)}}",1
Masculinization of a female fetus occurred in 5 of 39 (12.8%) exposed to norethisterone; all were cases of clitoral hypertrophy not requiring surgical treatment.,norethisterone,Masculinization of a female fetus,"{'drug': {'start_char': array([73], dtype=int32), 'end_char': array([87], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([33], dtype=int32)}}",1
Clinicians have been aware of lithium toxicity for many years and traditionally have administered thiazide diuretics for lithium-induced polyuria and nephrogenic diabetes insipidus.,thiazide,toxicity,0,0
The incidence of oral-verapamil-induced hypotension in the presence of concomitant beta-adrenergic blockade by the oral route is quite rare.,verapamil,hypotension,"{'drug': {'start_char': array([22], dtype=int32), 'end_char': array([31], dtype=int32)}, 'effect': {'start_char': array([40], dtype=int32), 'end_char': array([51], dtype=int32)}}",1
Acute abdomen due to endometriosis in a premenopausal woman taking tamoxifen.,tamoxifen,Acute abdomen,"{'drug': {'start_char': array([67], dtype=int32), 'end_char': array([76], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([13], dtype=int32)}}",1
"We report the case of a lung cancer patient with bronquiloalveolar carcinoma (BAC) presenting with BOOP after chemotherapy with docetaxel and gemcitabine producing severe respiratory insufficiency, and simulating a progression of the tumor.",docetaxel,progression of the tumor,"{'drug': {'start_char': array([128], dtype=int32), 'end_char': array([137], dtype=int32)}, 'effect': {'start_char': array([215], dtype=int32), 'end_char': array([239], dtype=int32)}}",1
Six days after starting acyclovir she exhibited signs of lithium toxicity.,acyclovir,lithium toxicity,"{'drug': {'start_char': array([24], dtype=int32), 'end_char': array([33], dtype=int32)}, 'effect': {'start_char': array([57], dtype=int32), 'end_char': array([73], dtype=int32)}}",1
"A patient with psoriasis is described who had an abnormal response to the glucose tolerance test without other evidence of diabetes and then developed postprandial hyperglycemia and glycosuria during a period of topical administration of a corticosteroid cream, halcinonide cream 0.1%, under occlusion.",corticosteroid,glycosuria,0,0
We conclude that neurosurgeons and neurologists should be aware of calcium antagonist--related ileus in patients treated with nimodipine.,nimodipine,ileus,"{'drug': {'start_char': array([126], dtype=int32), 'end_char': array([136], dtype=int32)}, 'effect': {'start_char': array([95], dtype=int32), 'end_char': array([100], dtype=int32)}}",1
"Several hypersensitivity reactions to cloxacillin have been reported, although IgE-mediated allergic reactions to the drug are rare and there is little information about possible tolerance to other semisynthetic penicillins or cephalosporins in patients with cloxacillin allergy.",cephalosporins,allergy,0,0
"A 36-year-old man being treated with cisplatinum, vinblastine, and bleomycin for testicular carcinoma developed a dense left homonymous hemianopsia, encephalopathy, and a partial nondominant parietal lobe syndrome.",bleomycin,carcinoma,0,0
"A patient with psoriasis is described who had an abnormal response to the glucose tolerance test without other evidence of diabetes and then developed postprandial hyperglycemia and glycosuria during a period of topical administration of a corticosteroid cream, halcinonide cream 0.1%, under occlusion.",corticosteroid,diabetes,0,0
A 61-year-old man with early diffuse cutaneous scleroderma with myositis and progressive interstitial pneumonia developed generalized erythema with high fever 3 weeks after taking sulfamethoxazole/trimethoprim.,sulfamethoxazole,scleroderma,0,0
Agranulocytosis induced by vancomycin in an ESRD patient on CAPD.,vancomycin,Agranulocytosis,"{'drug': {'start_char': array([27], dtype=int32), 'end_char': array([37], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([15], dtype=int32)}}",1
High-dose intravenous mannitol infusion in various clinical settings may result in acute renal failure (ARF).,mannitol,acute renal failure,"{'drug': {'start_char': array([22], dtype=int32), 'end_char': array([30], dtype=int32)}, 'effect': {'start_char': array([83], dtype=int32), 'end_char': array([102], dtype=int32)}}",1
OBJECTIVE: To report a case of Carbamazepine toxicity following the administration of Oxybutynin and Dantrolene.,Dantrolene,Carbamazepine toxicity,"{'drug': {'start_char': array([101], dtype=int32), 'end_char': array([111], dtype=int32)}, 'effect': {'start_char': array([31], dtype=int32), 'end_char': array([53], dtype=int32)}}",1
Propylthiouracil-induced sensorineural hearing loss associated with antineutrophil cytoplasmic antibodies.,Propylthiouracil,antineutrophil cytoplasmic antibodies,"{'drug': {'start_char': array([0], dtype=int32), 'end_char': array([16], dtype=int32)}, 'effect': {'start_char': array([68], dtype=int32), 'end_char': array([105], dtype=int32)}}",1
A 17-year-old boy with refractory psoriatic arthritis and alpha-1 antitrypsin deficiency who developed a syringotropic hypersensitivity reaction after 9 months of therapy with infliximab and leflunomide is described.,infliximab,arthritis,0,0
Acute myopathy with selective degeneration of myosin filaments following status asthmaticus treated with methylprednisolone and vecuronium.,vecuronium,Acute myopathy,"{'drug': {'start_char': array([128], dtype=int32), 'end_char': array([138], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([14], dtype=int32)}}",1
"We report a patient with type 2 diabetes mellitus who, while treated with the antitumor necrosis factor-alpha blocking agent etanercept for severe plaque psoriasis, experienced persistent hypoglycemia requiring the lowering and eventual elimination of his previous insulin regimen.",insulin,diabetes,0,0
"However, given the clinically significant result to the interaction between tolazoline and cimetidine we report, the use of cimetidine in tolazoline induced upper gastrointestinal hemorrhage should deserve more attention.",tolazoline,interaction,0,0
"Herein, we describe a patient with AIDS who presented to medical attention with pancytopenia 48 months postchemotherapy with etoposide, prednisone, vincristine, cyclophosphamide, doxorubicin, and rituximab (R-EPOCH) for diffuse large B-cell lymphoma.",prednisone,lymphoma,0,0
"During clarithromycin coadministration, four out of the seven patients developed moderate-to-severe toxic symptoms of carbamazepine, such as drowsiness, dizziness, and ataxia, which resolved within 5 days after clarithromycin discontinuation.",clarithromycin,ataxia,"{'drug': {'start_char': array([  7, 211], dtype=int32), 'end_char': array([ 21, 225], dtype=int32)}, 'effect': {'start_char': array([168], dtype=int32), 'end_char': array([174], dtype=int32)}}",1
"A 45-year-old woman with steroid-dependent Crohn's colitis, successfully managed with maintenance infliximab infusions and methotrexate, developed a lupus-like syndrome eight months after her initial infusion.",steroid,colitis,0,0
"This case is remarkable since 1) ECM developed after subcutaneous and not after intramuscular injection, 2) the injection was given by the patient himself, and 3) glatiramer acetate can induce skin necrosis as a side effect.",glatiramer acetate,skin necrosis,"{'drug': {'start_char': array([163], dtype=int32), 'end_char': array([181], dtype=int32)}, 'effect': {'start_char': array([193], dtype=int32), 'end_char': array([206], dtype=int32)}}",1
"Torsades de Pointes induced by a combination of garenoxacin and disopyramide and other cytochrome P450, family 3, subfamily A polypeptide-4-influencing drugs during hypokalemia due to licorice.",licorice,hypokalemia,0,0
Refractory hypoglycemia from ciprofloxacin and glyburide interaction.,glyburide,interaction,0,0
"A 22-year-old black man developed fever, chills, fatigue, night sweats, tender lymphadenopathy, and a generalized, pruritic, macular eruption 3 weeks after starting minocycline therapy for acne.",minocycline,fever,"{'drug': {'start_char': array([165], dtype=int32), 'end_char': array([176], dtype=int32)}, 'effect': {'start_char': array([34], dtype=int32), 'end_char': array([39], dtype=int32)}}",1
"Moreover, treatment with immunosuppressive drugs such as cyclosporine, cisplatin, tacrolimus, and interferon-alpha can induce a condition resembling RPLS.",interferon,cyclosporine,0,0
"CASE PRESENTATION: Three cases of Leishmania infantum leishmaniasis in corticosteroid (CS)-treated patients are reported: an isolated lingual leishmaniasis in a farmer treated with CS for asthma, a severe visceral leishmaniasis associated with cutaneous lesions in a woman with myasthenia gravis, and a visceral involvement after cutaneous leishmaniasis in a man receiving CS.",corticosteroid,asthma,0,0
Acute aluminum toxicity after continuous intravesical alum irrigation for hemorrhagic cystitis.,aluminum,hemorrhagic,0,0
His impaired memory was found to be due to the atenolol he was on and he made a complete recovery on withdrawing the beta-blocker.,atenolol,impaired memory,"{'drug': {'start_char': array([47], dtype=int32), 'end_char': array([55], dtype=int32)}, 'effect': {'start_char': array([4], dtype=int32), 'end_char': array([19], dtype=int32)}}",1
"Rapamycin/sirolimus-induced pneumonitis has been described previously in renal transplant recipients, and this report describes a stable heart-lung transplant recipient who developed a pulmonary infiltrate that reversed after ceasing SR therapy.",sirolimus,pulmonary infiltrate,"{'drug': {'start_char': array([10], dtype=int32), 'end_char': array([19], dtype=int32)}, 'effect': {'start_char': array([185], dtype=int32), 'end_char': array([205], dtype=int32)}}",1
A 17-year-old boy with refractory psoriatic arthritis and alpha-1 antitrypsin deficiency who developed a syringotropic hypersensitivity reaction after 9 months of therapy with infliximab and leflunomide is described.,leflunomide,arthritis,0,0
"A fatal pancytopenia occurred in a patient with an history of depression with hypomanic rebounds, admitted for a manic episode and treated with levomepromazine, diazepam and lithium carbonate.",diazepam,depression,0,0
Neutrophilic eccrine hidradenitis mimicking cutaneous vasculitis in a lupus patient: a complication of cyclophosphamide.,cyclophosphamide,Neutrophilic eccrine hidradenitis,"{'drug': {'start_char': array([103], dtype=int32), 'end_char': array([119], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([33], dtype=int32)}}",1
Atypical ventricular tachycardia (torsade de pointes) induced by amiodarone: arrhythmia previously induced by quinidine and disopyramide.,disopyramide,tachycardia,0,0
"Vancomycin is widely used against methicillin-resistant Staphylococcus aureus infections, but it is associated with many adverse effects such as nephrotoxicity, ototoxicity, gastrointestinal disturbances, blood disorders, and two types of hypersensitivity reactions - an anaphylactoid reaction known as ""red man syndrome"" and anaphylaxis.",methicillin,hypersensitivity,0,0
